Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-02-08,Sherlock: A Scandal in Belgravia,2012,https://boxd.it/YKfIf,5,,,2018-12-03
2020-02-08,Sherlock: Case of Evil,2002,https://boxd.it/YKfEx,4.5,,,2018-12-12
2020-02-08,Free Solo,2018,https://boxd.it/YKg6L,4,,,2019-07-31
2020-02-08,Thunder Road,2016,https://boxd.it/YKg1h,4,,,2019-11-24
2020-04-17,Partly Cloudy,2009,https://boxd.it/15BO4p,4.5,,,2020-04-16
2020-05-13,Rhubarb,2020,https://boxd.it/18OG8h,,,,2020-05-11
2024-05-30,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/6zFcv1,4.5,Yes,,2023-01-06
2024-05-30,Before Sunset,2004,https://boxd.it/6zG3WJ,5,,,2023-06-02
2024-05-30,Before Midnight,2013,https://boxd.it/6zG04z,4.5,,,2023-06-11
2024-05-26,Asteroid City,2023,https://boxd.it/6xGsoJ,2.5,,,2023-06-27
2024-05-26,Joker,2019,https://boxd.it/6xGoCH,4.5,Yes,,2024-02-25
2024-05-26,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/6xGikn,2.5,,,2024-03-09
